en,so,pos,description
Sidebar,Bar-dhinac,noun,
Site,Bar,noun,
Spam,"Isbam, Shufto",noun,"spam waa fariimaha aad dhibsanayso"
Static,Neg,noun,"Neg - aan dhaqdhaqaaq lahayn"
"Static Page","Bog Neg",noun,
Stats,Istaatikada,noun,
String,Xadhig,noun,
Style,"Hab, Hababka",noun,
Submit,"Gudbi, Gudbin",verb,
Subscribe,"Rukumo, Rukumid",noun,
Support,Taageero,noun,
Tag,Sumad,noun,
Tagline,Halkudheg,noun,
Tags,Sumado,noun,
Template,"Moodal, Moodalka",noun,
Text,Qoraal,noun,
Theme,Naqshad,noun,
Themes,Naqshado,noun,
Thumbnail,"Sawiryare, Sawiryaraha",noun,
Title,"Cinwaan, Suraab",noun,
Toolbar,Egnedsito,noun,
Trackback,Raadcelis,noun,
Trash,Qashin,noun,
Trash,Qub,verb,"In wax la soo qubo; qashinka lagu daro."
Type,Namuun,noun,"Cayn, Nooc"
"Unordered List","Liis Hannaan La'",noun,
Upload,"Rarsaar, Rarsaaray",verb,
Upload,Rarsaarid,noun,
User,Adeegsade,noun,
Username,Magackugal,noun,
Variable,Doorsoome,noun,
Version,Meeris,noun,
Video,"Muuqaal, Fiidiyow",noun,
View,Arag,verb,
Vission,Hiraal,noun,
Visual,Muuqda,adjective,
Widget,"Gabal, Gabalka",noun,
Widgets,"Gaballo, Gaballada",noun,
Width,Ballac,noun,
